Provincia,Alianza,Año elección,Cargo,Subcategoria Cargo,Posicion,Apellido,Nombres,Género
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Suplentes,9,Cantaluppi Irigoyen,Maria Del Valle,F
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Suplentes,10,Lionti,Anibal Guilermo,M
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,1,Randazzo,Anibal Florencio,M
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,2,Castro,Carolina,F
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,3,Pulti,Gustavo Arnaldo,M
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,4,Iglesias,Maria Valeria,F
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,5,Verdini,Ruben Adrian,M
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,6,Rizzolo,Julieta,F
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,7,Cincunegui,Juan De Dios,M
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,8,Lopez,Mariana,F
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,9,Legnani Grotto,Carlos Alberto,M
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,10,Crespo Bjerg,Maite,F
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,11,Avalos,Sergio Daniel,M
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,12,Rodriguez,Claudia Alejandra,F
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,13,Blanco,Rodrigo,M
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,14,Capetillo,Maria Teresa,F
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,15,Fernandez,Marcelo Herminio,M
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,16,Lobianco,Maria Lorena,F
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,17,Bonillo,Christian Alberto,M
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,18,Martinez,Camila Haydee,F
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,19,Giorno,Maximo Lucio,M
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,20,Mainero,Maria Grazia,F
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,21,Fernandez,Emiliano,M
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,22,Huergo,Cintia Sabrina,F
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,23,Marrocco,Marcelo Salvador,M
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,24,Razzari,Maria Teresa,F
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,25,Falco,Santiago Pedro,M
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,26,Mendibil,Mariana,F
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,27,Perez,Pablo Damian,M
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,28,Garcia,Araceli,F
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,29,Poloni,Esteban Ezequiel,M
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,30,Mansa,Camila Magali,F
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,31,Vaio,Adalberto Oscar,M
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,32,Constant,Maia,F
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,33,Marco,Juan Carlos,M
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,34,Fernandez,Estela Claudia,F
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Titulares,35,Nunes,Oscar Alejandro,M
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Suplentes,1,Alvarez,Antonella Magali,F
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Suplentes,2,Buzzi,Tomas Oriel,M
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Suplentes,3,Morales,Gimena Florencia,F
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Suplentes,4,Veron,Manuel Antonio,M
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Suplentes,5,Ceccatto,Julieta,F
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Suplentes,6,Harrand,Martin,M
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Suplentes,7,Hernandez,Romina Elizabeth,F
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Suplentes,8,De Marco,Juan Martin,M
Buenos Aires,Alianza Frente Vamos Con Vos,2021,Diputados Nacionales,Suplentes,9,Marchesini,Evangelina Mariel,F
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,1,Santilli,Diego Cesar,M
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,2,Ocaña,Maria Graciela,F
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,3,Manes,Facundo Francisco,M
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,4,Campagnoli,Maria Marcela,F
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,5,Lopez,Juan Manuel,M
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,6,Tavela,Danya Veronica,F
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,7,Milman,Gerardo Fabian,M
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,8,Sotolano,Maria Angel,F
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,9,Monzó,Emilio,M
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,10,Besana,Gabriela Gisel,F
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,11,Lombardi,Hernan Santiago,M
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,12,Stolbizer,Margarita Rosa,F
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,13,Finocchiaro,Alejandro Oscar,M
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,14,Borrego,Maria Victoria,F
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,15,Quetglas,Fabio Jose,M
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,16,De Sensi,Maria Florencia,F
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,17,Sanchez Wrba,Javier,M
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,18,Llenderrozas,Elsa Esther,F
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,19,Marino,Nelson Adrian,M
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,20,Vasquez,Patricia Maria,F
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,21,Cariglino,Jesus Cataldo,M
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,22,De Hagen,Maria Sofia,F
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,23,Di Giuseppe,Walter Alejandro,M
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,24,Mendoza,Josefina,F
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,25,Yacob,Lucas Ariel,M
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,26,Djedjeian,Maria Margarita,F
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,27,Juliano,Pablo Adrian,M
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,28,Sanguineti,Mercedes,F
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,29,Sanchez Sterli,Guillermo Manuel,M
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,30,Navajas,Maria Jose,F
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,31,Venier,Horacio Modesto,M
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,32,Fucello,Rosalia De Los Angeles,F
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,33,Mugnolo,Mariano Luis,M
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,34,Scort,Roxana,F
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Titulares,35,Fernandez,Emiliano,M
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Suplentes,1,Cayon,Romina Mariel,F
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Suplentes,2,Sucar Grau,Emilio,M
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Suplentes,3,Malegni,Maria Cristina,F
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Suplentes,4,Delfino,Carlos Joaquin,M
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Suplentes,5,Andrade Moroni,Maria Laura,F
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Suplentes,6,Zubiaurre,Pablo Antonio,M
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Suplentes,7,Werenicz,Patricia Evelina,F
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Suplentes,8,Orsetti,Adrian Eduardo,M
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Suplentes,9,Agüero,Maiten,F
Buenos Aires,Alianza Juntos,2021,Diputados Nacionales,Suplentes,10,Galli,Hilario,M
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,1,Del Caño,Nicolas,M
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,2,Del Pla,Romina,F
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,3,Pitrola,Nestor Antonio,M
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,4,Schlotthauer,Monica Leticia,F
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,5,Giordano,Juan Carlos,M
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,6,Ripoll,Vilma Ana,F
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,7,Bodart,Hugo Alejandro,M
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,8,Gonzalez Seligra,Nathalia Ines,F
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,9,Medina,Jorge Gabriel,M
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,10,De La Rosa,Gabriela Victoria Soledad,F
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,11,Luna,Daniel Fernando,M
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,12,Rodriguez Mariani,Paola Soledad,F
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,13,Martinez,Diego Gaston,M
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,14,Aguilera,Natalia Jorgelina,F
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,15,Gonzalez,Marcelo Daniel,M
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,16,Beitia Rocha,Maria Cristina,F
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,17,Mileo,Nicolas Antonio,M
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,18,Biaggio,Nora Iris,F
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,19,Reynoso,Edgardo Ernesto,M
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,20,Alfaro,Paula Anahi,F
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,21,Beica,Juan Carlos,M
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,22,Bogado,Laura,F
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,23,Sava,Jose Alberto,M
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,24,Garralda,Pia,F
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,25,Casas,Federico,M
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,26,Farias,Nancy Valeria,F
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,27,Almiron,Sergio,M
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,28,Lezana,Norma Ines,F
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,29,Feijoo,Tomas Ernesto,M
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,30,Garcia,Maria Ines,F
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,31,Sierra,Daniel Ernesto,M
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,32,Demateis,Maria Ines,F
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,33,Avendaño,Hector Fabian,M
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,34,Aguirre,Monica Nerea,F
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Titulares,35,Mendez,Samuel Alfredo,M
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Suplentes,1,Moreira,Daniela Fernanda,F
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Suplentes,2,Cejas Caceres,Alexis Ariel,M
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Suplentes,3,Rodas,Rosalia Elizabeth,F
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Suplentes,4,Franco,Cristian Adrian,M
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Suplentes,5,Morales,Clemira Rosa,F
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Suplentes,6,Gandolfo De La Fuente,Jorge Benjamin,M
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Suplentes,7,Coronel,Valeria Ramona,F
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Suplentes,8,Urzua,Luis Gustavo,M
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Suplentes,9,Sironi,Gabriela Mabel,F
Buenos Aires,Frente De Izquierda Y De Trabajadores,2021,Diputados Nacionales,Suplentes,10,Schiffmacher,Donald Cristian,M
Buenos Aires,Frente De Todos Pba,2021,Diputados Nacionales,Titulares,1,Tolosa Paz,Victoria,F
Buenos Aires,Frente De Todos Pba,2021,Diputados Nacionales,Titulares,2,Gollan,Daniel Gustavo,M
Buenos Aires,Frente De Todos Pba,2021,Diputados Nacionales,Titulares,3,Passo,Marcela Fabiana,F
Buenos Aires,Frente De Todos Pba,2021,Diputados Nacionales,Titulares,4,Palazzo,Sergio Omar,M
Buenos Aires,Frente De Todos Pba,2021,Diputados Nacionales,Titulares,5,Propato,Agustina Lucrecia,F
Buenos Aires,Frente De Todos Pba,2021,Diputados Nacionales,Titulares,6,Moreau,Leopoldo Raul Guido,M
Buenos Aires,Frente De Todos Pba,2021,Diputados Nacionales,Titulares,7,Siley,Vanesa Raquel,F
Buenos Aires,Frente De Todos Pba,2021,Diputados Nacionales,Titulares,8,Yasky,Hugo Ruben,M
Buenos Aires,Frente De Todos Pba,2021,Diputados Nacionales,Titulares,9,Alonso,Constanza Maria,F
Buenos Aires,Frente De Todos Pba,2021,Diputados Nacionales,Titulares,10,Pereyra,Julio Cesar,M
Buenos Aires,Frente De Todos Pba,2021,Diputados Nacionales,Titulares,11,Litza,Monica Edith,F
Buenos Aires,Frente De Todos Pba,2021,Diputados Nacionales,Titulares,12,Arroyo,Daniel Fernando,M
Buenos Aires,Frente De Todos Pba,2021,Diputados Nacionales,Titulares,13,Vargas Matyi,Brenda Magali,F
